행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관명,주최기관명,전화번호,후원기관명,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
통로,없는극장,연극,2026-05-29,2026-05-31,16:00,17:00,유료,앤드씨어터,앤드씨어터,,,,,12세 이상,,,,, ,인천광역시 강화군 길상면 해안남로 627,,37.60029106,126.49571573,2026-06-05,6280000,인천광역시
매직스크린 가족극 <오버코트>,트라이보울 공연장,아동,2026-05-30,2026-05-30,14:00,15:00,유료,인천경제자유구역청+인천문화재단+트라이보울,인천경제자유구역청+인천문화재단+트라이보울,032-832-7992,,,,3세 이상,,,,, ,인천광역시 연수구 인천타워대로 250?,,37.39411412,126.63502941,2026-06-05,6280000,인천광역시
2026년 인천개항장 문화지구 테라스 콘서트 in 개항장,대불호텔 전시관,기타,2026-04-25,2026-05-30,14:00,14:30,무료,인천광역시 중구청+인천중구문화재단,인천광역시 중구청+인천중구문화재단,032-777-9892,,,,0세 이상,,,,, ,인천광역시 중구 신포로23번길 97,,37.47343661,126.62007114,2026-06-05,6280000,인천광역시
시(詩)네마 오페라 ＜소월＞,문학시어터,오페라,2026-05-29,2026-05-30,19:30,20:40,유료,인천광역시+(사)인천예총+문학시어터,(재)예술경영지원센터,032-433-3777,,,,4세 이상,,,,, ,인천광역시 미추홀구 매소홀로 618,,37.43508198,126.69075983,2026-06-05,6280000,인천광역시
Family Concert(2026멍때림 실내악시리즈),멍때림 문화공간,클래식,2026-05-30,2026-05-30,14:00,14:30,무료,멍때림연주홀,멍때림연주홀,,,,,7세 이상,,,,, ,인천광역시 강화군 화도면 해안남로 1970-34,,37.60720717,126.41010474,2026-06-05,6280000,인천광역시
"공감, 사랑, 행복 뮤지컬 콘서트 “힐링 인 더 라디오”",인천수봉문화회관 소극장,뮤지컬,2026-05-23,2026-05-23,15:00,23:59,유료,인천수봉문화회관,인천수봉문화회관,032-868-7196,,,,0세 이상,,,,, ,인천광역시 미추홀구 수봉안길 78,,37.46153323,126.66226280,2026-06-05,6280000,인천광역시
배리어프리 가족극 <I AM 피노키오>,학산소극장,아동,2026-05-16,2026-05-16,11:00,12:00,유료,극단우주선,극단우주선,,,,,4세 이상,,,,, ,인천광역시 미추홀구 인하로 126,,37.44950565,126.66187840,2026-06-05,6280000,인천광역시
국립합창단 <클래식 세레나데>,남동소래아트홀 대공연장,음악회,2026-05-16,2026-05-16,16:00,17:10,유료,남동문화재단+국립합창단,남동문화재단+국립합창단,032-439-5001,,,,7세 이상,,,,, ,인천광역시 남동구 아암대로1437번길 32,,37.38746375,126.72459629,2026-06-05,6280000,인천광역시
수봉문화회관의 버스킹 공연 다함께 즐겨보자GO~,인천수봉문화회관,기타,2026-05-16,2026-05-16,14:00,23:59,무료,인천수봉문화회관,인천수봉문화회관,032-868-7196,,,,0세 이상,,,,, ,인천광역시 미추홀구 수봉안길 78?,,37.46153323,126.66226280,2026-06-05,6280000,인천광역시
트라이보울 시리즈 - 심소정 X 하프: 언리미티드 UNLIMITED,트라이보울 공연장,클래식,2026-05-16,2026-05-16,16:00,17:00,유료,인천경제자유구역청+인천문화재단+트라이보울,인천경제자유구역청+인천문화재단+트라이보울,032-832-7992,,,,5세 이상,,,,, ,인천광역시 연수구 인천타워대로 250,,37.39411412,126.63502941,2026-06-05,6280000,인천광역시
2026 트라이보울 클래식 페스티벌,트라이보울 공연장,클래식,2026-05-08,2026-05-10,19:30,20:40,유료,인천경제자유구역청+인천문화재단+트라이보울,인천경제자유구역청+인천문화재단+트라이보울,032-833-5993,,,,5세 이상,,,,, ,인천광역시 연수구 인천타워대로 250,,37.39411412,126.63502941,2026-06-05,6280000,인천광역시
나 그대에게(원제 참기름 톡),인천학생교육문화회관 싸리재홀,연극,2026-05-09,2026-05-09,15:00,16:30,유료,인천광역시교육청학생교육문화회관,인천광역시교육청학생교육문화회관,032-760-3532,,,,7세 이상,,,,, ,인천광역시 중구 자유공원로 12,,37.47575699,126.62941188,2026-06-05,6280000,인천광역시
쓱쓱싹싹 그림책 콘서트 <떳다 세계 음악 여행>,인천광역시교육청 평생학습관 교육누리홀,뮤지컬,2026-05-01,2026-05-01,16:00,17:00,무료,인천광역시교육청평생학습관,인천광역시교육청평생학습관,032-899-1517,,,,3세 이상,,,,, ,인천광역시 연수구 경원대로 73,,37.39823080,126.67215895,2026-06-05,6280000,인천광역시
[국립인천해양박물관] 2026 문화행사 함께海요 - 해양경찰악단 금관5중주팀,국립인천해양박물관 야외마당,기타,2026-04-25,2026-04-25,00:00,23:59,무료,국립인천해양박물관,국립인천해양박물관,032-468-5432,,,,0세 이상,,,,, ,인천광역시 중구 월미로 294,,37.47030027,126.59633847,2026-06-05,6280000,인천광역시
"연극 <예라고 하는 사람, 아니오라고 하는 사람>",문학시어터,연극,2026-04-24,2026-04-25,19:30,20:40,유료,인천광역시+(사)인천예총+문학시어터,(재)예술경영지원센터,032-433-3777,,,,13세 이상,,,,, ,인천광역시 미추홀구 매소홀로 618,,37.43508198,126.69075983,2026-06-05,6280000,인천광역시
인천으로 통하는 HIP한 옴니버스 렉처 퍼포먼스(니들이 인천을 알어?),인천문화예술회관 소공연장,연극,2026-04-11,2026-04-19,19:30,21:10,유료,인천시립극단,인천시립극단,032-420-2790,,,,8세 이상,,,,, ,인천광역시 남동구 예술로 149,,37.44758891,126.70005577,2026-06-05,6280000,인천광역시
극단 달리 연극<만리향> 무료공연,문학시어터,연극,2026-04-18,2026-04-18,14:00,15:20,무료,극단달리,극단달리,,,,,15세 이상,,,,, ,인천광역시 미추홀구 매소홀로 618,,37.43508198,126.69075983,2026-06-05,6280000,인천광역시
퓨전엠씨 비보이 스쿨어택 다시뛰는 대한민국,인천학생교육문화회관 싸리재홀,댄스+춤,2026-04-18,2026-04-18,16:00,19:05,유료,인천광역시교육청학생교육문화회관,인천광역시교육청학생교육문화회관,032-760-3532,,,,5세 이상,,,,, ,인천광역시 중구 자유공원로 12,,37.47575699,126.62941188,2026-06-05,6280000,인천광역시
대니 rn 콘서트 봄을 켜다,인천광역시교육청 평생학습관 교육누리홀,클래식,2026-04-02,2026-04-02,19:00,20:30,무료,인천광역시교육청평생학습관,인천광역시교육청평생학습관,032-899-1517,,,,12세 이상,,,,, ,인천광역시 연수구 경원대로 73,,37.39823080,126.67215895,2026-06-05,6280000,인천광역시
2026 <신바람 동네책방 책담회>,인천 28개 동네책방,문화행사,2026-03-28,2026-09-30,00:00,23:59,무료,인천문화재단+한국근대문학관,인천문화재단+한국근대문학관,,,,,10세 이상,,,,, ,인천광역시 중구 신포로15번길 76,,37.47260955,126.62101554,2026-06-05,6280000,인천광역시
시립미술관 상설 전시,부산시립미술관,공간+조각 등등,2023-06-30,2030-06-30,09:00,18:00,무료,부산시립미술관,부산시립미술관,051-740-4211,,0,,전연령,,월요일 휴관,https://art.busan.go.kr/,,Y,부산광역시 해운대구 APEC로 58(우동),,35.1666892,129.1370247,2026-06-11,6260000,부산광역시
현대미술관 상설 전시,부산현대미술관,소장품+공간+조각 등등,2023-06-30,2030-06-30,09:00,18:00,무료,부산현대미술관,부산현대미술관,051-220-7400,,0,,전연령,,월요일 휴관,http://www.busan.go.kr/moca,,Y,부산광역시 사하구 낙동남로 1191(하단동),,35.1093319,128.9426936,2026-06-11,6260000,부산광역시
26년 6월 문화가 있는 날 <살롱 드 파리 피아니스트 윤한 콘서트>,세종국악당,"피아노, 드럼, 베이스 연주자들의 하모니가 어우러진 공연",2026-06-23,2026-06-23,19:00,20:10,무료,여주세종문화관광재단,여주세종문화관광재단,031-881-9683,,388,0,만7세 이상,,,http://www.yjcf.or.kr,http://www.yjcf.or.kr,Y,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
26년 6월 기획공연 <유니버설발레단의 해설이 있는 발레 갈라>,세종국악당,유니버설 발레단의 해설이 있는 발레 갈라,2026-06-20,2026-06-20,17:00,18:10,유료,여주세종문화관광재단,여주세종문화관광재단,031-881-9681,,388,30000원,전체,초중고 학생 30 할인+문화누리카드 결제시 40 할인+ 장애할인 1~3등급(동반1인)+ 4~6등급(본인만) 50+ 국가유공자 50 할인,,http://www.yjcf.or.kr,http://www.yjcf.or.kr,Y,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
26년 5월 문화가 있는 날 <신바람 삼대>,세종국악당,삼대가 그려내는 코미디 연극,2026-05-27,2026-05-27,13:30,15:00,무료,여주세종문화관광재단,여주세종문화관광재단,031-881-9683,,388,0,8세 이상,,,http://www.yjcf.or.kr,http://www.yjcf.or.kr,Y,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
26년 5월 기획공연 유기농 가족극<붓바람>,세종국악당,음악과 그림으로 채워지는 아동극,2026-05-22,2026-05-22,10:30,11:20,무료,여주세종문화관광재단,여주세종문화관광재단,031-881-9681,,388,0,전체,관내 유치원+어린이집+ 초등 대상,,http://www.yjcf.or.kr,http://www.yjcf.or.kr,Y,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
26년 5월 기획공연 <금난새의 해설이 있는 음악회 오페라>,세종국악당,금난새 지휘자의 해설을 곁들인 오페라 공연,2026-05-16,2026-05-16,17:00,18:20,유료,여주세종문화관광재단,여주세종문화관광재단,031-881-9681,,388,20000원,,장애할인 1~3등급(동반1인)+4~6등급(본인만) 50+국가유공자 할인 50+3+1 할인,,http://www.yjcf.or.kr,http://www.yjcf.or.kr,Y,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
26년 4월 문화가 있는 날 <살롱드트리오 박현수X조윤성X박윤우 콘서트>,세종국악당,재즈와 클래식의 크로스오버 콘서트,2026-04-29,2026-04-29,19:00,20:20,무료,여주세종문화관광재단,여주세종문화관광재단,031-881-9683,,388,0,만7세이상,,,http://www.yjcf.or.kr,http://www.yjcf.or.kr,Y,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
26년 4월 기획공연 연극<분홍립스틱>,세종국악당,세대공감 연극 분홍립스틱,2026-04-25,2026-04-25,14:00,15:40,유료,여주세종문화관광재단,여주세종문화관광재단,031-881-9681,,388,30000원,12세 이상,,,http://www.yjcf.or.kr,http://www.yjcf.or.kr,Y,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
26년 3월 문화가 있는 날 <살롱 드 탱고 홍진호&고상지>,세종국악당,"첼로와 반도네온, 피아노가 빚어내는 살롱 드 탱고",2026-03-24,2026-03-24,19:00,20:10,무료,여주세종문화관광재단,여주세종문화관광재단,031-881-9683,,388,0,만7세 이상,,,http://www.yjcf.or.kr,http://www.yjcf.or.kr,Y,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
26년 3월 기획공연 <난쟁이들>,세종국악당,동화나라 무도회에서 벌어지는 성인 대상 뮤지컬,2026-03-07,2026-03-07,14:00,20:00,유료,여주세종문화관광재단,여주세종문화관광재단,031-881-9683,,382,60000원,17세 이상,여주시민 특별가 25000원+여주방문 할인 50,,http://www.yjcf.or.kr,http://www.yjcf.or.kr,Y,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
26년 2월 문화가 있는 날 <명화배달부>,세종국악당,"영화 OST와 스트래트 댄스, 그리고 화려한 마술쇼",2026-02-25,2026-02-25,19:00,20:10,무료,여주세종문화관광재단,여주세종문화관광재단,031-881-9683,,382,,5세 이상,,,http://www.yjcf.or.kr,http://www.yjcf.or.kr,Y,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
26년 2월 기획공연 <슈퍼거북 슈퍼토끼>,세종국악당,경주가 끝난 후 펼쳐지는 토끼와 거북이 이야기,2026-02-07,2026-02-07,11:00,15:00,유료,여주세종문화관광재단,여주세종문화관광재단,031-881-9683,,382,20000원,36개월 이상,여주시민 할인 50+여주시4인 60+여주시 5인 65,,http://www.yjcf.or.kr,http://www.yjcf.or.kr,Y,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
26년 1월 문화가 있는 날 <브랜든 최 콘서트>,세종국악당,색소포니스트 브랜든 최와 피아니스트 김재원의 아름다운 클래식 하모니,2026-01-21,2026-01-21,19:00,20:15,무료,여주세종문화관광재단,여주세종문화관광재단,031-881-9683,,382,,7세 이상,,,http://www.yjcf.or.kr,http://www.yjcf.or.kr,Y,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
26년 1월 기획공연 <심수봉 콘서트>,세종국악당,데뷔 50주년을 앞둔 심수봉 콘서트,2026-01-17,2026-01-17,17:00,19:00,유료,여주세종문화관광재단,여주세종문화관광재단,031-881-9683,,382,80000원,13세 이상,여주시민 할인 50,,http://www.yjcf.or.kr,http://www.yjcf.or.kr,Y,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
25년 12월 기획공연 <호두까기 인형>,세종국악당,와이즈발레단이 선사하는 발레 호두까끼 인형,2025-12-25,2025-12-25,17:00,19:00,유료,여주세종문화관광재단,여주세종문화관광재단,031-881-9683,,382,20000원,5세 이상,,,http://www.yjcf.or.kr,http://www.yjcf.or.kr,Y,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
25년 12월 문화가 있는 날 <스노우 버블 쇼>,세종국악당,매직 크리스마스를 선사하는 스노우 버블 마술,2025-12-19,2025-12-19,10:00,14:00,무료,여주세종문화관광재단,여주세종문화관광재단,031-881-9683,,382,,5세 이상,,,http://www.yjcf.or.kr,http://www.yjcf.or.kr,Y,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
25년 11월 기획공연 <김용임 & 에녹 효 콘서트>,세종국악당,가수 김용임과 에녹이 선사하는 효 콘서트,2025-12-13,2025-12-13,17:00,19:00,유료,여주세종문화관광재단,여주세종문화관광재단,031-881-9683,,382,50000원,13세 이상,여주시민 할인 30,,http://www.yjcf.or.kr,http://www.yjcf.or.kr,Y,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
25년 11월 문화가 있는 날 <쇼 미더 장구 프로젝트>,세종국악당,전통 풍물연희와 현대 미디어아트의 융합을 장구로 녹여낸 작품,2025-11-29,2025-11-29,17:00,18:00,무료,여주세종문화관광재단,여주세종문화관광재단,031-881-9683,,382,,7세 이상,,,http://www.yjcf.or.kr,http://www.yjcf.or.kr,Y,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
25년 10월 기획공연 <오버코트>,세종국악당,아빠와 딸이 펼치는 매직스크린 아동극,2025-11-21,2025-11-22,10:30,14:50,유료,여주세종문화관광재단,여주세종문화관광재단,031-881-9683,,382,10000원,36개월 이상,3명 할인 20+4명 25+5명 30,,http://www.yjcf.or.kr,http://www.yjcf.or.kr,Y,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
25년 9월 기획공연 <히사이시 조 영화음악 콘서트>,세종국악당,작곡가 히사이시 조의 영화음악 OST 공연,2025-11-08,2025-11-08,17:00,19:00,유료,여주세종문화관광재단,여주세종문화관광재단,031-881-9683,,382,25000원,7세 이상,학생 할인 20+황혼 20,,http://www.yjcf.or.kr,http://www.yjcf.or.kr,Y,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
25년 10월 문화가 있는 날 <쉽게 즐기는 오페라 갈라 콘서트>,세종국악당,"소프라노, 테너, 바리톤이 함께하는 쉬운 오페라 갈라 콘서트",2025-10-29,2025-10-29,19:00,20:10,무료,여주세종문화관광재단,여주세종문화관광재단,031-881-9683,,382,,6세 이상,,,http://www.yjcf.or.kr,http://www.yjcf.or.kr,Y,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
25년 10월 기획공연 <방구석 뮤지컬>,세종국악당,뮤지컬 작품에 대한 열정으로 뭉친 젊은 3인의 꿈과 희망 이야기,2025-10-24,2025-10-25,13:30,16:35,유료,여주세종문화관광재단,여주세종문화관광재단,031-881-9683,,382,20000원,13세 이상,4명 할인 25,,http://www.yjcf.or.kr,http://www.yjcf.or.kr,Y,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
25년 10월 기획공연 <한중일 Music Festival>,세종국악당,"양성식, 아키코 타나카, 양샤오위, 유성민 그리고 에라토 앙상블의 무대",2025-10-19,2025-10-19,17:00,18:50,무료,여주세종문화관광재단,여주세종문화관광재단,031-881-9683,,382,,,,,http://www.yjcf.or.kr,http://www.yjcf.or.kr,Y,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
25년 9월 문화가 있는 날 <포르테 피아니시모>,세종국악당,"안톤 체홉의 <갈매기>, 강렬한 라이브 클럽 뮤지컬로 재탄생",2025-09-20,2025-09-20,14:00,19:30,무료,여주세종문화관광재단,여주세종문화관광재단,031-881-9683,,382,,만 10세 이상,,,http://www.yjcf.or.kr,http://www.yjcf.or.kr, ,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
25년 8월 문화가 있는 날 <김문정이 들려주는 뮤지컬 맘마미아>,세종국악당,최고의 음악감독 김문정이 들려주는 뮤지컬 맘마미아,2025-08-26,2025-08-26,19:00,20:20,무료,여주세종문화관광재단,여주세종문화관광재단,031-881-9683,,382,,7세 이상,,,http://www.yjcf.or.kr,http://www.yjcf.or.kr, ,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
25년 7월 기획공연 <고양이 해결사 깜냥>,세종국악당,90만 어린이가 선택한 귀여운 만능 해결사 깜냥의 뮤지컬 무대,2025-08-09,2025-08-09,11:00,14:00,유료,여주세종문화관광재단,여주세종문화관광재단,031-881-9683,,384,20000원,24개월 이상,여주시민 할인 50,,http://www.yjcf.or.kr,http://www.yjcf.or.kr, ,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
25년 7월 기획공연 <K2 김성면&플라워 콘서트-떼창데이>,세종국악당,K2 김성면&플라워 콘서트,2025-07-19,2025-07-19,17:00,18:30,유료,여주세종문화관광재단,여주세종문화관광재단,031-881-9683,,384,35000원,7세 이상,,,http://www.yjcf.or.kr,http://www.yjcf.or.kr, ,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
"25년 7월 문화가 있는 날 <그리스 로마 신화, 클래식을 만나다>",세종국악당,그리스 로마 신화와 클래식의 황홀한 충돌,2025-07-30,2025-07-30,19:00,20:10,무료,여주세종문화관광재단,여주세종문화관광재단,031-881-9683,,382,,7세 이상,,,http://www.yjcf.or.kr,http://www.yjcf.or.kr, ,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
25년 6월 문화가 있는 날 <해금으로 듣는 우리 가곡 음악회>,세종국악당,"해금, 첼로, 피아노 그리고 테너가 선사하는 가곡 음악회",2025-06-26,2025-06-26,19:00,20:30,무료,여주세종문화관광재단,여주세종문화관광재단,031-881-9683,,382,,7세 이상,,,http://www.yjcf.or.kr,http://www.yjcf.or.kr,Y,경기도 여주시 영릉로 125,,37.29692248,127.6252266,2026-06-22,5700000,경기도 여주시
